"Result","Logistic","SVM","GBM","NeuralNetwork","Xgboost","Adaboost","LightGBM","CatBoost"
1,0.550601698312524,0.764914000513068,0.593818694331791,0.678981317578755,0.499358236789703,1,0.677997225132182,0.658947101056893
1,0.173410198012667,0.186441698768904,0.165460683500788,0.150770587400988,0.497610688209534,0,0.176426598504649,0.547002044816986
0,0.26569206138631,0.303790834467717,0.42056639801993,0.412884135047492,0.498186945915222,1,0.522380655504327,0.602745460993214
1,0.745419201623668,0.861127553197799,0.87292387956321,0.620336994327828,0.501122564077377,1,0.677997225132182,0.668693327196006
1,0.197071486974571,0.203643072012919,0.16030917826486,0.156212864544851,0.497763097286224,0,0.176426598504649,0.550465520476936
0,0.705455040602188,0.814085425875041,0.535881235087744,0.63157914240925,0.501009106636047,1,0.75966414440351,0.641405505097631
0,0.145283021710595,0.205343846503127,0.190834906027262,0.161492156648998,0.497901082038879,0,0.199045529808762,0.556245643349278
0,0.266385957981047,0.218505498338459,0.192585314591167,0.218830165168245,0.498066127300262,0.306110764531135,0.202951100876261,0.56424381489503
1,0.783600714426144,0.868397930977176,0.777856311096331,0.715044506117734,0.500589460134506,1,0.75966414440351,0.667980087759585
1,0.623398441235625,0.783162876490435,0.746958421899848,0.616263155052981,0.50148344039917,1,0.75966414440351,0.638653868524788
0,0.547010482497956,0.746366575835395,0.541424670943245,0.512767650791763,0.500056266784668,0.306110764531135,0.357495473788246,0.612158107202904
1,0.919952618815535,0.925659973156937,0.808640358760489,0.607008797354149,0.500607222318649,0.693889235468865,0.75966414440351,0.668097983028099
1,0.724860060294417,0.841917747814647,0.593523940803746,0.645990276531854,0.499358236789703,1,0.677997225132182,0.659752390095291
0,0.276645198086039,0.271102709864271,0.474294850053125,0.370773060482885,0.498186945915222,0.306110764531135,0.319912954043312,0.596712139371086
0,0.673057666585324,0.760773310740964,0.500150437158338,0.59398421580534,0.500166594982147,0.306110764531135,0.109336398888744,0.619805166396212
1,0.893346505075971,0.892960429178562,0.839169317124763,0.817332655460874,0.501036643981934,1,0.75966414440351,0.662980757358158
1,0.516542212492261,0.746155796744151,0.489470914350118,0.5538913935217,0.499692022800446,1,0.677997225132182,0.639596549372542
1,0.636783340937004,0.804732158254436,0.745613915805094,0.669166177105246,0.500484585762024,0.693889235468865,0.75966414440351,0.664216688634363
0,0.115782782646962,0.1740590845524,0.144769128916617,0.130245598729743,0.497610688209534,0,0.176426598504649,0.542692534004978
1,0.587125884546129,0.764837888719258,0.745456027519628,0.692728213191813,0.500714838504791,0.693889235468865,0.75966414440351,0.660275879730748
0,0.116061010250764,0.182463877208694,0.115364148221937,0.109097777292244,0.497721016407013,0,0.176426598504649,0.543030822921994
1,0.831896749221341,0.851756517989278,0.836973459681217,0.866881193196373,0.500774919986725,1,0.75966414440351,0.672916470491218
0,0.297581056068473,0.26409721173335,0.276053096281228,0.287112575839017,0.498487830162048,0.306110764531135,0.199045529808762,0.569392151965076
0,0.371363700298461,0.630144781189861,0.420211057789929,0.459165410050067,0.498245775699615,0.306110764531135,0.109336398888744,0.585917441204705
1,0.822607225984737,0.890036497399108,0.745815619546646,0.87597432806002,0.500017046928406,0.693889235468865,0.677997225132182,0.676586283489164
0,0.14857609163359,0.169399467517166,0.118420783290988,0.132348702518924,0.497610688209534,0,0.176426598504649,0.541367630151718
1,0.79348359171377,0.832359494560558,0.793492620634526,0.851537732735883,0.500233292579651,1,0.75966414440351,0.677473546518323
1,0.724524533343509,0.833760999034437,0.790774815171501,0.762665981119921,0.500484585762024,1,0.75966414440351,0.664848636435968
0,0.202563953572614,0.206951432929595,0.234623249129514,0.176012587387178,0.498307764530182,0,0.176426598504649,0.543215784195888
0,0.306009100566692,0.577719877158165,0.184467338347701,0.24508914282253,0.49795538187027,0,0.176426598504649,0.560229418203249
0,0.129101255227985,0.168292740380745,0.129569201582661,0.122980953846911,0.497873425483704,0,0.176426598504649,0.543742710195819
0,0.175781358624712,0.201559617070062,0.138139662340385,0.166949237200705,0.497828006744385,0.306110764531135,0.202951100876261,0.557599738041642
0,0.294527345409129,0.228811237232478,0.216271206360773,0.241072473823431,0.497955799102783,0.306110764531135,0.202951100876261,0.563119242180081
0,0.1065448921755,0.147165213857519,0.0851887415213626,0.10613541261614,0.497721016407013,0,0.176426598504649,0.541609504315886
1,0.127096241633025,0.181235690759214,0.110882196583038,0.116922278789136,0.497610688209534,0,0.176426598504649,0.540677377834521
1,0.172666859101224,0.194697581258798,0.152792694396375,0.17111652938637,0.497938394546509,0.306110764531135,0.202951100876261,0.552734741650613
0,0.139571600721114,0.165361692248283,0.110717174945778,0.126212464378172,0.497610688209534,0,0.176426598504649,0.540721641112682
0,0.241301111601292,0.225888070126965,0.270466081247216,0.228652896221424,0.497790694236755,0.306110764531135,0.319912954043312,0.569012730458441
0,0.165719446146224,0.18082071872082,0.110717174945778,0.136089020554344,0.497610688209534,0,0.176426598504649,0.54181314431628
1,0.755670439984904,0.805196468525474,0.772573059250986,0.826463648312757,0.500578850507736,0.693889235468865,0.75966414440351,0.665901549199228
0,0.102538461686007,0.144753653231624,0.0873179905787234,0.105137879339537,0.497721016407013,0,0.176426598504649,0.54125033540776
1,0.40252788171667,0.287387159741986,0.415701151095914,0.505382180893734,0.498243153095245,0.306110764531135,0.800162601594983,0.611087218766236
0,0.186126095601473,0.193680842879474,0.194936503960645,0.159426060743827,0.49770325422287,0,0.176426598504649,0.546962074842997
0,0.292294927438745,0.256045728961837,0.334025252658786,0.3351031602924,0.497883260250092,0.306110764531135,0.319912954043312,0.579558252415737
1,0.591302906922297,0.823659631404655,0.782382175256952,0.57909507808172,0.50115954875946,1,0.677997225132182,0.653875300813595
